x1,y1,z1,x2,y2,z2
0.908271,3.29742,-0.448021,1.00082,0.150279,2.53685
0.140552,3.67745,-1.01158,0.245584,0.707236,2.89382
0.552656,3.47379,-1.71031,0.653003,1.37613,2.71216
1.32037,3.09377,-1.14675,1.40824,0.819176,2.35518
-0.986222,3.5514,-0.457685,-0.906602,0.165211,2.75211
-1.7866,3.22875,-0.993811,-1.6899,0.711272,2.44182
-1.38382,3.40079,-1.69867,-1.29145,1.38571,2.62288
-0.583439,3.72345,-1.16254,-0.508152,0.839653,2.93317
-0.0930346,3.59315,-0.334328,-0.0519029,0.0318681,2.77838
-0.989119,3.54561,-0.826928,-0.913659,0.546896,2.79014
-0.598433,3.54381,-1.53745,-0.501431,1.237,2.77459
0.297651,3.59134,-1.04485,0.360325,0.721971,2.76282
0.764118,3.57744,-0.461082,0.827892,0.148076,2.79492
-0.058374,3.62487,-1.02241,0.015059,0.733462,2.86305
0.392836,3.56266,-1.68881,0.479516,1.38625,2.79546
1.21533,3.51523,-1.12749,1.29235,0.80086,2.72733
-0.154537,3.94819,-0.227829,-0.0613999,-0.0646876,3.16787
-0.986783,3.71075,-0.781171,-0.913801,0.423095,2.95931
-0.535282,3.67957,-1.44686,-0.504498,1.11246,2.89874
0.296964,3.917,-0.89352,0.347904,0.624673,3.10729
-0.841894,4.90164,-0.243416,-0.799939,-0.0701603,4.04344
-1.70129,4.68427,-0.749094,-1.64273,0.442658,3.85705
-1.278,4.60842,-1.43587,-1.22057,1.12634,3.82922
-0.418605,4.82579,-0.930188,-0.377778,0.613522,4.01561
1.15592,5.28746,-0.357426,1.14361,0.0184141,4.54038
0.251142,5.49978,-0.790229,0.289929,0.494685,4.76933
0.565358,5.35342,-1.51889,0.640987,1.20032,4.61042
1.47013,5.1411,-1.08609,1.49466,0.724049,4.38147
0.913366,5.35071,-0.298486,1.11755,-0.00850931,4.54574
-0.0241581,5.3445,-0.644868,0.15618,0.273792,4.60962
0.246664,5.13204,-1.37407,0.366602,1.02988,4.43506
1.18419,5.13826,-1.02769,1.32798,0.747578,4.37118
-0.994974,4.2373,-0.280318,-0.928689,-0.0673719,3.36344
-1.86873,3.88782,-0.67899,-1.75324,0.414521,3.05374
-1.52978,3.85075,-1.38935,-1.33852,1.10248,3.02006
-0.656029,4.20023,-0.990674,-0.513973,0.620591,3.32977
